"10.1007/978-3-642-12090-9_12", "An Adaptive Grid-Based Approach to Location Privacy Preservation.", "Advances in Intelligent Information and Database Systems", "2010", "Anh Tuan Truong, Quynh Chi Truong, Tran Khanh Dang", "series/sci/TruongTD10", "Parts in Books or Collections"
"10.1093/database/baae133", "A change language for ontologies and knowledge graphs.", "Database J. Biol. Databases Curation", "2025", "Harshad Hegde, Jennifer Vendetti, Damien Goutte-Gattat, J. Harry Caufield, John B. Graybeal, Nomi L. Harris, Naouel Karam, Christian Kindermann, Nicolas Matentzoglu, James A. Overton, Mark A. Musen, Christopher J. Mungall", "journals/biodb/HegdeVGCGHKKMOMM25", "Journal Articles"
"10.1093/database/baab059", "EpiSurf: metadata-driven search server for analyzing amino acid changes within epitopes of SARS-CoV-2 and other viral species.", "Database J. Biol. Databases Curation", "2021", "Anna Bernasconi 0002, Luca Cilibrasi, Ruba Al Khalaf, Tommaso Alfonsi, Stefano Ceri, Pietro Pinoli, Arif Canakoglu", "journals/biodb/BernasconiCKACP21", "Journal Articles"
"10.1093/database/bax100", "To increase trust, change the social design behind aggregated biodiversity data.", "Database J. Biol. Databases Curation", "2018", "Nico M. Franz, Beckett W. Sterner", "journals/biodb/FranzS18", "Journal Articles"
"10.1093/nar/gkw1188", "The 24th annual Nucleic Acids Research database issue: a look back and upcoming changes.", "Nucleic Acids Res.", "2017", "Michael Y. Galperin, Xosé M. Fernández-Suárez, Daniel J. Rigden", "journals/nar/GalperinFR17", "Journal Articles"
"10.1093/database/baw029", "CCProf: exploring conformational change profile of proteins.", "Database J. Biol. Databases Curation", "2016", "Che-Wei Chang, Chai-Wei Chou, Darby Tien-Hao Chang", "journals/biodb/ChangCC16", "Journal Articles"
"10.1093/database/bau080", "miRBase Tracker: keeping track of microRNA annotation changes.", "Database J. Biol. Databases Curation", "2014", "Gert Van Peer, Steve Lefever, Jasper Anckaert, Anneleen Beckers, Ali Rihani, Alan Van Goethem, Pieter-Jan Volders, Fjoralba Zeka, Maté Ongenaert, Pieter Mestdagh, Jo Vandesompele", "journals/biodb/PeerLABRGVZOMV14", "Journal Articles"
"10.1093/nar/gkr966", "PSCDB: a database for protein structural change upon ligand binding.", "Nucleic Acids Res.", "2012", "Takayuki Amemiya, Ryotaro Koike, Akinori Kidera, Motonori Ota", "journals/nar/AmemiyaKKO12", "Journal Articles"
"10.1093/database/bar049", "BioMart: driving a paradigm change in biological data management.", "Database J. Biol. Databases Curation", "2011", "Arek Kasprzyk", "journals/biodb/Kasprzyk11", "Journal Articles"
"10.48550/arxiv.2507.09225", "MetaClimage: A novel database of visual metaphors related to Climate Change, with costs and benefits analysis.", "CoRR", "2025", "Biagio Scalingi, Chiara Barattieri di San Pietro, Paolo Canal, Valentina Bambini", "journals/corr/abs-2507-09225", "Informal and Other Publications"
"10.48550/arxiv.2408.12414", "BIPeC: A Combined Change-Point Analyzer to Identify Performance Regressions in Large-scale Database Systems.", "CoRR", "2024", "Zhan Lyu, Thomas Bach 0001, Yong Li, Minh Le Nguyen, Lars Hömke", "journals/corr/abs-2408-12414", "Informal and Other Publications"
"10.1145/3551783.3551788", "Detecting Change in Professional Conduct Using Information from the Internet: Implications for Privacy and &quot;The Right to be Forgotten&quot;.", "ACM SIGMIS Database", "2022", "Roozmehr Safi", "journals/db/Safi22", "Journal Articles"
"10.1093/nar/gkab910", "dNTPpoolDB: a manually curated database of experimentally determined dNTP pools and pool changes in biological samples.", "Nucleic Acids Res.", "2022", "Rita Pancsa, Erzsébet Fichó, Daniel Molnar, Éva Viola Surányi, Tamás Trombitás, Dóra Füzesi, Hanna Lóczi, Péter Szijjártó, Rita Hírmondó, Judit E. Szabó, Judit Tóth", "journals/nar/PancsaFMSTFLSHS22", "Journal Articles"
"10.1145/3511808.3557118", "DuARUS: Automatic Geo-object Change Detection with Street-view Imagery for Updating Road Database at Baidu Maps.", "CIKM", "2022", "Deguo Xia, Jizhou Huang, Jianzhong Yang, Xiyan Liu, Haifeng Wang 0001", "conf/cikm/XiaHYLW22", "Conference and Workshop Papers"
"10.48550/arxiv.2205.11660", "A Taxonomy of Schema Changes for NoSQL Databases.", "CoRR", "2022", "Alberto Hernández Chillón, Meike Klettke, Diego Sevilla Ruiz, Jesús García Molina", "journals/corr/abs-2205-11660", "Informal and Other Publications"
"10.3390/ijgi9060358", "The Use of Geographic Databases for Analyzing Changes in Land Cover - A Case Study of the Region of Warmia and Mazury in Poland.", "ISPRS Int. J. Geo Inf.", "2020", "Iwona Cieslak, Andrzej Bilozor, Anna Zróbek-Sokolnik, Marek Zagroba", "journals/ijgi/CieslakBZZ20", "Journal Articles"
"10.1609/socs.v10i1.18509", "Repairing Compressed Path Databases on Maps with Dynamic Changes.", "SOCS", "2019", "Marco Verzeletti, Adi Botea, Marina Zanella", "conf/socs/VerzelettiBZ19", "Conference and Workshop Papers"
"10.1016/j.jag.2018.03.001", "A scale self-adapting segmentation approach and knowledge transfer for automatically updating land use/cover change databases using high spatial resolution images.", "Int. J. Appl. Earth Obs. Geoinformation", "2018", "Zhihua Wang 0006, Xiaomei Yang, Chen Lu, Fengshuo Yang", "journals/aeog/WangYLY18", "Journal Articles"
"10.1145/3241040", "Dynamic Complexity under Definable Changes.", "ACM Trans. Database Syst.", "2018", "Thomas Schwentick, Nils Vortmeier, Thomas Zeume", "journals/tods/SchwentickVZ18", "Journal Articles"
"10.1007/978-1-4614-8265-9_49", "Change Detection on Streams.", "Encyclopedia of Database Systems", "2018", "Daniel Kifer", "reference/db/Kifer18", "Reference Works"
